EMX-062-S-4-3TR,"LAC POLIURETANIC PENTRU MOBILA “EMEX”","Pe Baza de Rasini Poliuretanice - Lac Poliuretanic Bicomponent de Mobila si Mobilier - Lucios cu Rezistenta Mare la Intemperii Frecare Patare si UV",lac-poliuretanic-mobila,Lac-poliuretanic-lemn-si-mobila.webp,"in stock","299.55 RON",503738,"Lac Lemn",EMEX,5941930705168,"rasini acrilo-poliolice/ Izocianat alifatic","""Lac"""
EMX-048-S-4-08IE,"INTARITOR EPOXIDIC “EMEX - 30-25”","Intaritor pentru polimerizarea sistemelor epoxidice bicomponente solventate ca lacuri vopsele grunduri amorse pentru suporturi din lemn metal zidarie",intaritor-epoxidice-solventate,Intaritor-lacuri-vopsele-epoxidice.webp,"in stock","59.02 RON",115,Intaritor,EMEX,5941930705380,"poliamida/ rasini epoxidice","""Intaritor"""
EMX-049-S-4-08IP,"INTARITOR POLIURETANIC “EMEX 75-HMX”","Intaritor pentru sistemele de rasini poliuretanice bicomponente ca lacuri vopsele grunduri sau emailuri pentru suporturi din metal lemn sau beton",intaritor-lacuri-vopsele-poliuretanice,Intaritor-rasini-poliuretanice-in-solvent.webp,"in stock","106.36 RON",115,Intaritor,EMEX,5941930705403,poliizocianat,"""Intaritor"""
EMX-024-S-4-1AU,"DILUANT PENTRU VOPSELE AUTO SI SPECIALE “EMEX”","Diluant - pentru Vopsele Auto si Speciale - Solvent pentru Reglarea Vascozitatii si diluare vopsea, spalare scule de vopsire: pistol pensule airless.",diluant-vopsele-utilaje,Diluant-vopsele-speciale.webp,"in stock","33.69 RON",503741,Diluant,EMEX,5941930705427,"solventi organici","""Diluant"""
EMX-018-S-4-1CL,"DILUANT PENTRU VOPSELE CLORCAUCIUC “EMEX”","Solvent pentru - Vopsele Clorcauciuc de Piscina sau Trafic. Regalare vascozitate clorcauciuc si spalare scule pentru vopsire: airless pensule pistol",diluant-clorcauciuc,Solvent-vopsele-clorcauciuc.webp,"in stock","33.30 RON",503741,Diluant,EMEX,5941930705441,"solventi organici","""Diluant"""
EMX-019-S-4-1EP,"DILUANT PENTRU VOPSELE EPOXIDICE “EMEX”","Diluant Epoxidic - Solvent Lacuri si Vopsele Epoxidice pentru reglare vascozitate si curatare scule pentru vopsire: role, pistol cu aer sau airless",diluant-epoxidic,Diluant-lacuri-vopsele-epoxidice.webp,"in stock","37.26 RON",503741,Diluant,EMEX,5941930705465,"solventi organici","""Diluant"""
EMX-022-S-4-1PL,"DILUANT PENTRU VOPSELE POLIURETANICE “EMEX”","Solvent pentru - Rasini Poliuretanice - Diluare Lacuri Vopsele Poliuretanice si spalare unelte de vopsire, instalatii de pulverizare aer sau airless",diluant-poliuretanic,Solvent-rasina-poliuretanica.webp,"in stock","42.22 RON",503741,Diluant,EMEX,5941930705489,"solventi organici","""Diluant"""
EMX-023-S-4-1PS,"DILUANT RASINI POLIESTERICE SATURATE “EMEX”","Diluant pentru - Lacuri si Vopsele Poliesterice Saturate - solvent de diluare email poliesteric si spalare unelte vopsire pulverizare aer sau airless",diluant-rasini-poliesterice,Solvent-rasina-poliesterica.webp,"in stock","42.22 RON",503741,Diluant,EMEX,5941930705502,"solventi organici","""Diluant"""
EMX-133-NS-5-15AB,"VOPSEA DE ACOPERIS TIGLA SI AZBOCIMENT “EMEX”","Vopsea pentru - Acoperis de Tigla din Beton si Azbociment in Orice Culoare cu Putere de Acoperire - Rezistenta Mare la UV - Rezultate Profesionale !",vopsea-tigla-emex,Vopsea-tigla-din-beton.webp,"in stock","467.17 RON",503738,Vopsea,EMEX,5941930705694,"polimeri acrilici/ aditivi","""Vopsea de podea, de beton"""
EMX-118-S-5-10AB,"VOPSEA HIDROIZOLANTA BETON “EMEX AQ BAR”","Rezistenta la Intemperii si Apa - Vopsea Hidroizolanta Elastica pentru Piscina Terasa sau Acoperis. Impermeabilizant Mare Rezistenta - Pret Excelent !",vopsea-hidroizolanta-elastica,Vopsea-multiprotectoare-hidroizolanta.webp,"in stock","290.86 RON",115,"Vopsea Hidroizolanta",EMEX,5941930705595,"polimeri acrilici/ aditivi","""Vopsea grund"""
EMX-123-NS-4AB,"VOPSEA ACRILICA BAZA APA “EMEX SUPRAMET”","Produs Profesional - Vopsea Acrilica pentru Metal pe Baza de Apa - cu Aderenta si Rezistenta Deosebita la Agenti Corozivi Factori de Mediu si Uzura.",vopsea-metal-solubila-apa,Vopsea-profesionala-cu-apa-pentru-metal.webp,"in stock","215.73 RON",503738,Vopsea,EMEX,5941930705748,"polimeri acrilici/ aditivi","""Vopsea email"""
